Hour,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
0,0,861,1722,2583,3444,4306,5167,6028,6889,7750,8611,9472,10333,11194,12056,12917,13778,14639,15500,16361,17222,18083,18944,19806,20667,21528,22389,23250,24111,24972,25833,26694,27556,28417,29278,30139
1,0,819,1639,2458,3278,4097,4917,5736,6556,7375,8194,9014,9833,10653,11472,12292,13111,13931,14750,15569,16389,17208,18028,18847,19667,20486,21306,22125,22944,23764,24583,25403,26222,27042,27861,28681
2,0,694,1389,2083,2778,3472,4167,4861,5556,6250,6944,7639,8333,9028,9722,10417,11111,11806,12500,13194,13889,14583,15278,15972,16667,17361,18056,18750,19444,20139,20833,21528,22222,22917,23611,24306
3,0,444,889,1333,1778,2222,2667,3111,3556,4000,4444,4889,5333,5778,6222,6667,7111,7556,8000,8444,8889,9333,9778,10222,10667,11111,11556,12000,12444,12889,13333,13778,14222,14667,15111,15556
4,0,361,722,1083,1444,1806,2167,2528,2889,3250,3611,3972,4333,4694,5056,5417,5778,6139,6500,6861,7222,7583,7944,8306,8667,9028,9389,9750,10111,10472,10833,11194,11556,11917,12278,12639
5,0,222,444,667,889,1111,1333,1556,1778,2000,2222,2444,2667,2889,3111,3333,3556,3778,4000,4222,4444,4667,4889,5111,5333,5556,5778,6000,6222,6444,6667,6889,7111,7333,7556,7778
6,0,153,306,458,611,764,917,1069,1222,1375,1528,1681,1833,1986,2139,2292,2444,2597,2750,2903,3056,3208,3361,3514,3667,3819,3972,4125,4278,4431,4583,4736,4889,5042,5194,5347
7,0,153,306,458,611,764,917,1069,1222,1375,1528,1681,1833,1986,2139,2292,2444,2597,2750,2903,3056,3208,3361,3514,3667,3819,3972,4125,4278,4431,4583,4736,4889,5042,5194,5347
8,0,167,333,500,667,833,1000,1167,1333,1500,1667,1833,2000,2167,2333,2500,2667,2833,3000,3167,3333,3500,3667,3833,4000,4167,4333,4500,4667,4833,5000,5167,5333,5500,5667,5833
9,0,292,583,875,1167,1458,1750,2042,2333,2625,2917,3208,3500,3792,4083,4375,4667,4958,5250,5542,5833,6125,6417,6708,7000,7292,7583,7875,8167,8458,8750,9042,9333,9625,9917,10208
10,0,361,722,1083,1444,1806,2167,2528,2889,3250,3611,3972,4333,4694,5056,5417,5778,6139,6500,6861,7222,7583,7944,8306,8667,9028,9389,9750,10111,10472,10833,11194,11556,11917,12278,12639
11,0,361,722,1083,1444,1806,2167,2528,2889,3250,3611,3972,4333,4694,5056,5417,5778,6139,6500,6861,7222,7583,7944,8306,8667,9028,9389,9750,10111,10472,10833,11194,11556,11917,12278,12639
12,0,347,694,1042,1389,1736,2083,2431,2778,3125,3472,3819,4167,4514,4861,5208,5556,5903,6250,6597,6944,7292,7639,7986,8333,8681,9028,9375,9722,10069,10417,10764,11111,11458,11806,12153
13,0,319,639,958,1278,1597,1917,2236,2556,2875,3194,3514,3833,4153,4472,4792,5111,5431,5750,6069,6389,6708,7028,7347,7667,7986,8306,8625,8944,9264,9583,9903,10222,10542,10861,11181
14,0,292,583,875,1167,1458,1750,2042,2333,2625,2917,3208,3500,3792,4083,4375,4667,4958,5250,5542,5833,6125,6417,6708,7000,7292,7583,7875,8167,8458,8750,9042,9333,9625,9917,10208
15,0,292,583,875,1167,1458,1750,2042,2333,2625,2917,3208,3500,3792,4083,4375,4667,4958,5250,5542,5833,6125,6417,6708,7000,7292,7583,7875,8167,8458,8750,9042,9333,9625,9917,10208
16,0,306,611,917,1222,1528,1833,2139,2444,2750,3056,3361,3667,3972,4278,4583,4889,5194,5500,5806,6111,6417,6722,7028,7333,7639,7944,8250,8556,8861,9167,9472,9778,10083,10389,10694
17,0,389,778,1167,1556,1944,2333,2722,3111,3500,3889,4278,4667,5056,5444,5833,6222,6611,7000,7389,7778,8167,8556,8944,9333,9722,10111,10500,10889,11278,11667,12056,12444,12833,13222,13611
18,0,458,917,1375,1833,2292,2750,3208,3667,4125,4583,5042,5500,5958,6417,6875,7333,7792,8250,8708,9167,9625,10083,10542,11000,11458,11917,12375,12833,13292,13750,14208,14667,15125,15583,16042
19,0,569,1139,1708,2278,2847,3417,3986,4556,5125,5694,6264,6833,7403,7972,8542,9111,9681,10250,10819,11389,11958,12528,13097,13667,14236,14806,15375,15944,16514,17083,17653,18222,18792,19361,19931
20,0,679,1358,2038,2717,3396,4075,4754,5433,6113,6792,7471,8150,8829,9508,10188,10867,11546,12225,12904,13583,14263,14942,15621,16300,16979,17658,18338,19017,19696,20375,21054,21733,22413,23092,23771
21,0,931,1861,2792,3722,4653,5583,6514,7444,8375,9306,10236,11167,12097,13028,13958,14889,15819,16750,17681,18611,19542,20472,21403,22333,23264,24194,25125,26056,26986,27917,28847,29778,30708,31639,32569
22,0,1014,2028,3042,4056,5069,6083,7097,8111,9125,10139,11153,12167,13181,14194,15208,16222,17236,18250,19264,20278,21292,22306,23319,24333,25347,26361,27375,28389,29403,30417,31431,32444,33458,34472,35486
23,0,1042,2083,3125,4167,5208,6250,7292,8333,9375,10417,11458,12500,13542,14583,15625,16667,17708,18750,19792,20833,21875,22917,23958,25000,26042,27083,28125,29167,30208,31250,32292,33333,34375,35417,36458
